Test File,CB functon,Total Time (in s),Azure Operation,Time per hit
gcp-compute,"delete",1.00271,"(self.provider.gcp_compute.snapshots().delete(project=self.provider.project_name,snapshot=snapshot.name)",0.998101
gcp-compute,"get_or_create",5e-06,"return self._default_internet_gateway",1.2e-06
gcp-compute,"get",2.43989,"fip = self.provider.get_resource('addresses', floating_ip_id)",0.3464735
gcp-compute,"get",2.43989,"return (GCPFloatingIP(self.provider, fip)if fip else None)",0.2634998
gcp-compute,"list",18.3208,"for ip in response.get('items', [])]",0.9960869
gcp-compute,"create",3.07852,"self.provider.wait_for_operation(response, region=region_name)",1.923116
gcp-compute,"delete",4.11383,"self.provider.wait_for_operation(response,region=fip.region_name)",2.867653
gcp-object_store,"get",2.37478,"bucket = self.provider.get_resource('buckets', bucket_id)",0.29682220000000004
gcp-object_store,"find",0.342205,"buckets = [bucket for bucket in self if name in bucket.name]",0.1710355
gcp-object_store,"list",0.978596,"response = (self.provider.gcp_storage.buckets().list(project=self.provider.project_name,maxResults=max_result,pageToken=marker)",0.15440179999999998
gcp-object_store,"create",20.0851,"response = (self.provider.gcp_storage.buckets().insert(project=self.provider.project_name,body=body)",1.0442424000000001
gcp-object_store,"create",20.0851,"time.sleep(2)",2.0037903
gcp-object_store,"delete",17.3862,"time.sleep(2)",2.0049202
gcp-object_store,"get",2.05451,"obj = self.provider.get_resource('objects', name,bucket=bucket.name)",0.5136145
gcp-object_store,"list",3.30274,"response = (self.provider.gcp_storage.objects().list(bucket=bucket.name,prefix=prefix if prefix else '',maxResults=max_result,pageToken=marker)",0.2820595
gcp-object_store,"find",0.399978,"matches = cb_helpers.generic_find(filters, kwargs, bucket.objects)",0.1332917
gcp-object_store,"create",2.65239,"response = self._create_object_with_media_body(bucket,name,googleapiclient.http.MediaIoBaseUpload(io.BytesIO(b''), mimetype='plain/text'))",0.5304496
